,snmae,dnmae,z,sname,dname,z
3791,Monterey Highlands ,Alhambra Unified,0.599471835,Monterey Highlands ,Alhambra Unified,2.399701729
3792,Park ,Alhambra Unified,-1.067293015,Park ,Alhambra Unified,-0.484223015
3793,Ramona ,Alhambra Unified,-3.768480616,Ramona ,Alhambra Unified,-2.35514516
3794,Repetto ,Alhambra Unified,-0.943658755,Repetto ,Alhambra Unified,-1.310358783
3795,William Northrup ,Alhambra Unified,-0.682326221,William Northrup ,Alhambra Unified,-1.094038235
3796,Ynez ,Alhambra Unified,-2.571419302,Ynez ,Alhambra Unified,-1.290877208
4139,Creekside ,Alisal Union,-2.332795526,Creekside ,Alisal Union,-0.849215045
4140,Oscar F. Loya ,Alisal Union,-1.949767815,Oscar F. Loya ,Alisal Union,-2.179686364
4141,Oasis Charter Public,Alisal Union,-2.0233058,Oasis Charter Public,Alisal Union,-1.038359128
349,Diamond Valley ,Alpine County Unified,0.373347514,,,
6425,Alpine ,Alpine Union ,1.050174714,Alpine ,Alpine Union ,-0.2922233
6427,Shadow Hills ,Alpine Union ,0.091121051,Shadow Hills ,Alpine Union ,-0.44216363
6428,Boulder Oaks ,Alpine Union ,-0.32628434,Boulder Oaks ,Alpine Union ,-0.45666931
5921,Alta Loma ,Alta Loma ,0.082268258,Alta Loma ,Alta Loma ,-0.639964634
5923,Carnelian ,Alta Loma ,-1.489591967,Carnelian ,Alta Loma ,-0.816354544
5924,Jasper ,Alta Loma ,-2.624592537,Jasper ,Alta Loma ,-1.740429118
5925,Floyd M. Stork ,Alta Loma ,0.456657887,Floyd M. Stork ,Alta Loma ,-0.104963094
5926,Deer Canyon ,Alta Loma ,-0.993482358,Deer Canyon ,Alta Loma ,-2.306170394
5927,Hermosa ,Alta Loma ,1.040112048,Hermosa ,Alta Loma ,2.575421567
5928,Victoria Groves ,Alta Loma ,-1.345869972,Victoria Groves ,Alta Loma ,-0.105936323
5930,Banyan ,Alta Loma ,0.850538714,Banyan ,Alta Loma ,-1.062487338
4921,Alta-Dutch Flat ,Alta-Dutch Flat Union Elementa,-0.163203351,Alta-Dutch Flat ,Alta-Dutch Flat Union ,-1.383019958
7834,Adelante Dual Language Academy,Alum Rock Union ,1.605291679,Adelante Dual Language Academy,Alum Rock Union ,-1.109637644
7836,James McEntee Academy,Alum Rock Union ,-2.495404784,,,
7843,Donald J. Meyer ,Alum Rock Union ,-0.391951059,Donald J. Meyer ,Alum Rock Union ,1.040529838
7847,Linda Vista ,Alum Rock Union ,-1.252139597,Linda Vista ,Alum Rock Union ,0.537935229
7851,Millard McCollam ,Alum Rock Union ,-4.117052691,Millard McCollam ,Alum Rock Union ,-0.721141747
3806,Alview ,Alview-Dairyland Union Element,-0.702328996,,,
805,Alvina  Charter,Alvina ,0.72086259,,,
5060,Phillip M. Stokoe ,Alvord Unified,-0.999955249,Phillip M. Stokoe ,Alvord Unified,-0.564050332
5061,Lake Hills ,Alvord Unified,-1.953444465,Lake Hills ,Alvord Unified,-0.192440864
5065,Allan Orrenmaa ,Alvord Unified,-2.496532772,Allan Orrenmaa ,Alvord Unified,-1.256837454
5076,S. Christa McAuliffe ,Alvord Unified,1.417690611,S. Christa McAuliffe ,Alvord Unified,0.445886047
5077,Promenade ,Alvord Unified,0.164370089,Promenade ,Alvord Unified,-1.587232866
356,Ione ,Amador County Unified,-1.434398911,Ione ,Amador County Unified,-3.336884464
357,Jackson ,Amador County Unified,0.122493962,Jackson ,Amador County Unified,0.02356129
358,Pine Grove ,Amador County Unified,-0.015482647,Pine Grove  STEM Magnet,Amador County Unified,0.876167504
359,Pioneer ,Amador County Unified,0.036509712,Pioneer ,Amador County Unified,-0.092566552
360,Plymouth ,Amador County Unified,-1.130745843,Plymouth ,Amador County Unified,-2.197650807
361,Sutter Creek ,Amador County Unified,2.172470273,Sutter Creek ,Amador County Unified,-1.098054764
4341,Ponderosa ,Anaheim City,-1.146309756,,,
4342,Lincoln (Abraham) ,Anaheim City,0.052899204,Lincoln (Abraham) ,Anaheim City,-0.993285803
4343,Price (Adelaide) ,Anaheim City,0.17914878,Price (Adelaide) ,Anaheim City,2.581192124
4344,Stoddard (Alexander J.) ,Anaheim City,-0.920123448,Stoddard (Alexander J.) ,Anaheim City,-0.077095557
4345,Juarez (Benito) ,Anaheim City,-0.99371767,Juarez (Benito) ,Anaheim City,0.842638369
4346,Franklin (Benjamin) ,Anaheim City,-1.750480903,Franklin (Benjamin) ,Anaheim City,-0.830889769
4347,Ross (Betsy) ,Anaheim City,-1.645722143,Ross (Betsy) ,Anaheim City,0.261634438
4348,Barton (Clara) ,Anaheim City,-0.504504606,Barton (Clara) ,Anaheim City,1.636653873
4349,Mann (Horace) ,Anaheim City,-0.355891616,Mann (Horace) ,Anaheim City,-2.074537865
4350,Guinn (James M.) ,Anaheim City,-0.375394082,Guinn (James M.) ,Anaheim City,1.177520505
4351,Madison (James) ,Anaheim City,-0.640407822,Madison (James) ,Anaheim City,1.068196535
4352,Marshall (John) ,Anaheim City,0.792245207,Marshall (John) ,Anaheim City,0.039747595
4353,Loara ,Anaheim City,-0.177396505,Loara ,Anaheim City,-0.239605429
4354,Gauer (Melbourne A.) ,Anaheim City,-0.884534755,Gauer (Melbourne A.) ,Anaheim City,-1.853915139
4355,Palm Lane ,Anaheim City,2.405953222,,,
4358,Sunkist ,Anaheim City,1.250675049,Sunkist ,Anaheim City,0.372290977
4359,Roosevelt (Theodore) ,Anaheim City,0.5440622,Roosevelt (Theodore) ,Anaheim City,-0.259882811
4361,Jefferson (Thomas) ,Anaheim City,-0.739417219,Jefferson (Thomas) ,Anaheim City,-0.871457532
4363,Westmont ,Anaheim City,0.000474097,Westmont ,Anaheim City,0.120970655
3943,Anderson Valley ,Anderson Valley Unified,0.063808844,,,
8900,Antelope ,Antelope ,0.375599845,Antelope ,Antelope ,1.190764983
492,Lone Tree ,Antioch Unified,-0.847709839,Lone Tree ,Antioch Unified,1.57588112
494,Carmen Dragon ,Antioch Unified,-2.577349249,Carmen Dragon ,Antioch Unified,-0.334682532
495,Orchard Park,Antioch Unified,-0.106581881,Orchard Park,Antioch Unified,2.005240121
502,Belshaw ,Antioch Unified,-2.058073947,Belshaw ,Antioch Unified,-0.474471219
503,Fremont ,Antioch Unified,-1.091924264,,,
504,Kimball ,Antioch Unified,-3.023735417,,,
505,Marsh ,Antioch Unified,-2.730557188,,,
506,Sutter ,Antioch Unified,-3.225279114,Sutter ,Antioch Unified,-1.49974113
507,Turner ,Antioch Unified,-1.656959361,Turner ,Antioch Unified,1.220851095
510,Mission ,Antioch Unified,-4.239903929,Mission ,Antioch Unified,-1.731361064
511,Muir (John) ,Antioch Unified,-0.511003138,Muir (John) ,Antioch Unified,-0.77829085
512,Jack London ,Antioch Unified,-1.312726511,Jack London ,Antioch Unified,1.216167897
514,Grant ,Antioch Unified,-0.631923645,Grant ,Antioch Unified,-1.295031213
516,Diablo Vista ,Antioch Unified,-1.253213962,Diablo Vista ,Antioch Unified,-1.258850287
6405,Vanguard Preparatory,Apple Valley Unified,-1.072222263,Vanguard Preparatory,Apple Valley Unified,-0.443332904
6406,Sitting Bull Academy,Apple Valley Unified,1.455027964,Sitting Bull Academy,Apple Valley Unified,0.510262284
6407,Phoenix Academy,Apple Valley Unified,-2.499202082,Phoenix Academy,Apple Valley Unified,-4.166538362
6411,Academy for Academic Excellence,Apple Valley Unified,-1.869121495,Academy for Academic Excellence,Apple Valley Unified,-2.708049497
6412,Mariana Academy,Apple Valley Unified,-0.296119059,Mariana Academy,Apple Valley Unified,-2.162326144
6413,Rancho Verde ,Apple Valley Unified,-0.985424337,Rancho Verde ,Apple Valley Unified,-2.014137552
6414,Yucca Loma ,Apple Valley Unified,-2.166011084,Yucca Loma ,Apple Valley Unified,-2.423499707
6415,Desert Knolls ,Apple Valley Unified,0.787303919,Desert Knolls ,Apple Valley Unified,-1.578345148
6416,Sandia ,Apple Valley Unified,0.2020438,Sandia ,Apple Valley Unified,-1.315850712
6417,Rio Vista ,Apple Valley Unified,-2.567587717,Rio Vista ,Apple Valley Unified,0.245142057
6418,Sycamore Rocks ,Apple Valley Unified,-0.810362827,Sycamore Rocks ,Apple Valley Unified,-1.354874469
1789,Baldwin Stocker ,Arcadia Unified,-1.530026107,Baldwin Stocker ,Arcadia Unified,-0.427189627
1790,Camino Grove ,Arcadia Unified,-0.578743264,Camino Grove ,Arcadia Unified,0.641089778
1791,Highland Oaks ,Arcadia Unified,-1.112817413,Highland Oaks ,Arcadia Unified,0.391847187
1792,Holly Avenue ,Arcadia Unified,-1.643763512,Holly Avenue ,Arcadia Unified,-2.20291447
1793,Hugo Reid ,Arcadia Unified,-1.673817326,Hugo Reid ,Arcadia Unified,2.190279213
1794,Longley Way ,Arcadia Unified,-1.070250247,Longley Way ,Arcadia Unified,-1.310507383
1152,Fuente Nueva Charter,Arcata ,0.134011316,,,
1154,Arcata ,Arcata ,2.877593478,Arcata ,Arcata ,-0.749078329
1155,Coastal Grove Charter,Arcata ,-0.951651454,Coastal Grove Charter,Arcata ,-6.782068598
5523,Arcohe ,Arcohe Union ,-0.226072036,Arcohe ,Arcohe Union ,1.123425548
3945,Arena ,Arena Union ,0.03104834,Arena ,Arena Union ,-0.488286518
3946,Pacific Community Charter,Arena Union ,-0.425341351,Pacific Community Charter,Arena Union ,-0.952651436
1614,Armona ,Armona Union ,-0.06658983,,,
5895,San Juan,Aromas/San Juan Unified,-1.562829957,San Juan,Aromas/San Juan Unified,-2.52862967
5896,Aromas,Aromas/San Juan Unified,-1.244886314,Aromas,Aromas/San Juan Unified,1.263797416
7450,Creston ,Atascadero Unified,-0.641233609,,,
7452,Monterey Road ,Atascadero Unified,0.366069989,Monterey Road ,Atascadero Unified,1.010381708
7453,Santa Margarita ,Atascadero Unified,-0.125043032,Santa Margarita ,Atascadero Unified,-0.093447824
7454,Santa Rosa Road Academic Academy,Atascadero Unified,0.061400315,Santa Rosa Road Academic Academy,Atascadero Unified,-2.082289527
7455,San Gabriel ,Atascadero Unified,0.256931327,San Gabriel ,Atascadero Unified,0.824349105
7456,San Benito ,Atascadero Unified,-1.162607751,San Benito ,Atascadero Unified,-3.154369148
4003,Elmer Wood ,Atwater ,-0.091158123,Elmer Wood ,Atwater ,-0.598675383
4004,Mitchell ,Atwater ,0.128848994,Mitchell ,Atwater ,0.515180764
4007,Thomas Olaeta ,Atwater ,-0.736204381,Thomas Olaeta ,Atwater ,1.503771717
4008,Peggy Heller ,Atwater ,-0.545807968,Peggy Heller ,Atwater ,-0.031085861
4923,Alta Vista Community Charter,Auburn Union ,-0.111800904,Alta Vista Community Charter,Auburn Union ,0.847757715
4926,Skyridge ,Auburn Union ,-0.365014067,Skyridge ,Auburn Union ,1.808531674
4927,Auburn ,Auburn Union ,2.0172129,Auburn ,Auburn Union ,2.021336622
1801,Alice M. Ellington ,Azusa Unified,1.528811737,Alice M. Ellington ,Azusa Unified,-0.6976185
1807,Henry Dalton ,Azusa Unified,-0.432147993,Henry Dalton ,Azusa Unified,0.429969535
1808,Magnolia ,Azusa Unified,-0.752636999,,,
1809,Mountain View ,Azusa Unified,0.750940374,,,
1810,Paramount ,Azusa Unified,-0.813766059,Paramount ,Azusa Unified,-0.719434447
1813,Victor F. Hodge ,Azusa Unified,-0.497597112,Victor F. Hodge ,Azusa Unified,0.286857254
1338,Caroline Harris ,Bakersfield City,-0.341364432,Caroline Harris ,Bakersfield City,-3.080651464
1340,Evergreen ,Bakersfield City,-1.449997102,,,
1342,Colonel Howard Nichols ,Bakersfield City,-1.612105112,Colonel Howard Nichols ,Bakersfield City,-0.276258661
1345,Franklin ,Bakersfield City,-1.305059327,Franklin ,Bakersfield City,1.4915219
1348,Harding ,Bakersfield City,0.235757927,Harding ,Bakersfield City,-0.766144268
1349,Henry Eissler ,Bakersfield City,-2.383318323,Henry Eissler ,Bakersfield City,-1.379291572
1351,Hort ,Bakersfield City,-0.428276604,Hort ,Bakersfield City,-2.141597516
1362,Bessie E. Owens Primary,Bakersfield City,4.656069482,,,
1365,Voorhies ,Bakersfield City,0.696511811,Voorhies ,Bakersfield City,0.707834387
1372,Dr. Juliet Thorner ,Bakersfield City,-1.115121318,Dr. Juliet Thorner ,Bakersfield City,1.514432761
1374,Cesar E. Chavez ,Bakersfield City,-1.268857081,Cesar E. Chavez ,Bakersfield City,1.009906892
1375,Downtown ,Bakersfield City,-1.660376443,Downtown ,Bakersfield City,-0.466078813
1376,Bessie E. Owens Intermediate,Bakersfield City,3.308687055,Bessie E. Owens Intermediate,Bakersfield City,6.163302425
1820,Charles Bursch ,Baldwin Park Unified,-1.463250764,Charles Bursch ,Baldwin Park Unified,0.281717007
1821,Central ,Baldwin Park Unified,-0.615998343,Central ,Baldwin Park Unified,-2.766364278
1825,Foster ,Baldwin Park Unified,-1.202097944,Foster ,Baldwin Park Unified,-2.615596065
1826,Ernest R. Geddes ,Baldwin Park Unified,-2.214901595,Ernest R. Geddes ,Baldwin Park Unified,1.572347735
1827,Kenmore ,Baldwin Park Unified,-1.949723931,Kenmore ,Baldwin Park Unified,1.495219387
1829,Margaret Heath ,Baldwin Park Unified,0.112506836,Margaret Heath ,Baldwin Park Unified,1.511356259
1831,Pleasant View ,Baldwin Park Unified,-1.203940255,,,
1832,Tracy ,Baldwin Park Unified,-1.422612088,Tracy ,Baldwin Park Unified,0.264524105
1833,Vineland ,Baldwin Park Unified,-1.227237532,Vineland ,Baldwin Park Unified,-0.942057999
1834,Walnut ,Baldwin Park Unified,-0.590534889,Walnut ,Baldwin Park Unified,0.230617176
1836,Santa Fe ,Baldwin Park Unified,-2.744987983,Santa Fe ,Baldwin Park Unified,-1.178418527
5084,Central ,Banning Unified,-1.358931716,Central ,Banning Unified,-1.379090575
5085,Hemmerling ,Banning Unified,0.679678962,Hemmerling ,Banning Unified,-0.192876767
5087,Susan B. Coombs Intermediate,Banning Unified,0.661005556,,,
7235,Banta ,Banta ,-0.063440063,Banta ,Banta ,1.223896877
5933,Cameron ,Barstow Unified,0.214885746,Cameron ,Barstow Unified,0.87679971
5935,Henderson ,Barstow Unified,0.663279659,Henderson ,Barstow Unified,-0.18369848
5936,Hinkley /Middle,Barstow Unified,1.759046178,,,
5937,Lenwood ,Barstow Unified,0.156539789,,,
5938,Montara ,Barstow Unified,-0.053919796,Montara ,Barstow Unified,0.216449364
5939,Skyline North ,Barstow Unified,-0.437991804,Skyline North ,Barstow Unified,2.327238737
3809,Oakhurst ,Bass Lake Joint Union Elementa,1.248331227,Oakhurst ,Bass Lake Joint Union ,-1.040423073
3810,Wasuma ,Bass Lake Joint Union Elementa,0.696297676,Wasuma ,Bass Lake Joint Union ,-0.423144065
1841,Sunkist ,Bassett Unified,-2.090325817,,,
1842,Edgewood Academy,Bassett Unified,-1.562446453,Edgewood Academy,Bassett Unified,-1.131981334
5946,North Shore ,Bear Valley Unified,3.813344817,North Shore ,Bear Valley Unified,-0.668085702
5947,Big Bear ,Bear Valley Unified,1.631632429,Big Bear ,Bear Valley Unified,0.561821573
5948,Baldwin Lane ,Bear Valley Unified,0.597635682,Baldwin Lane ,Bear Valley Unified,-1.00479837
1378,San Lauren ,Beardsley ,-0.506651887,San Lauren ,Beardsley ,0.135413516
5090,Sundance ,Beaumont Unified,-1.691751455,Sundance ,Beaumont Unified,0.895322999
5091,Brookside ,Beaumont Unified,-1.357242329,Brookside ,Beaumont Unified,0.855082807
5093,Tournament Hills ,Beaumont Unified,-0.774410789,Tournament Hills ,Beaumont Unified,0.253941931
5094,Anna Hause ,Beaumont Unified,-1.224226481,Anna Hause ,Beaumont Unified,0.307758108
5096,Three Rings Ranch ,Beaumont Unified,-0.835672106,Three Rings Ranch ,Beaumont Unified,-0.73584339
5098,Palm ,Beaumont Unified,-0.333036704,Palm ,Beaumont Unified,-1.737627827
8273,Bella Vista ,Bella Vista ,-1.876241869,Bella Vista ,Bella Vista ,-0.888646087
9164,Belleview ,Belleview ,0.979881978,Belleview ,Belleview ,0.918518068
8546,Taylor Mountain ,Bellevue Union ,-1.029183517,Taylor Mountain ,Bellevue Union ,-1.227044942
8547,Bellevue ,Bellevue Union ,-1.073992638,Bellevue ,Bellevue Union ,-0.191491864
8549,Meadow View ,Bellevue Union ,1.187554157,Meadow View ,Bellevue Union ,-0.123867282
1847,Albert Baxter ,Bellflower Unified,-3.354510601,Albert Baxter ,Bellflower Unified,1.841678557
1848,Intensive Learning Center,Bellflower Unified,0.136685543,Intensive Learning Center,Bellflower Unified,0.563766466
1849,Ernie Pyle ,Bellflower Unified,-1.354717579,Ernie Pyle ,Bellflower Unified,-0.587746522
1850,Esther Lindstrom ,Bellflower Unified,-3.145545663,Esther Lindstrom ,Bellflower Unified,-0.355996454
1851,Frank E. Woodruff ,Bellflower Unified,-1.930903254,Frank E. Woodruff ,Bellflower Unified,-1.617862493
1852,Craig Williams ,Bellflower Unified,-2.868390015,Craig Williams ,Bellflower Unified,-0.934315353
1853,Ramona ,Bellflower Unified,-2.217319094,Ramona ,Bellflower Unified,-0.06368294
1854,Stephen Foster ,Bellflower Unified,-1.339011079,Stephen Foster ,Bellflower Unified,-0.571743074
1855,Thomas Jefferson ,Bellflower Unified,-1.315204681,Thomas Jefferson ,Bellflower Unified,-1.328242364
1856,Washington ,Bellflower Unified,0.625149847,Washington ,Bellflower Unified,-2.03846999
7528,Nesbit ,Belmont-Redwood Shores Element,-0.946534131,Nesbit ,Belmont-Redwood Shores ,0.617981776
7530,Sandpiper ,Belmont-Redwood Shores Element,-0.187917297,,,
8412,Mary Farmar ,Benicia Unified,2.007978539,Mary Farmar ,Benicia Unified,-0.119471371
8413,Robert Semple ,Benicia Unified,1.964422491,Robert Semple ,Benicia Unified,0.301746952
8414,Joe Henderson ,Benicia Unified,0.347286104,Joe Henderson ,Benicia Unified,1.26753435
8415,Matthew Turner ,Benicia Unified,-0.284916453,Matthew Turner ,Benicia Unified,2.115005836
8551,Yulupa ,Bennett Valley Union Elementar,-0.436986908,Yulupa ,Bennett Valley Union ,3.850290643
8552,Strawberry ,Bennett Valley Union Elementar,1.198134386,Strawberry ,Bennett Valley Union ,1.710141019
43,Rosa Parks Environmental Science Magnet,Berkeley Unified,1.773999958,Rosa Parks Environmental Science Magnet,Berkeley Unified,1.562253438
44,Cragmont ,Berkeley Unified,3.603202464,Cragmont ,Berkeley Unified,3.979388437
45,Emerson ,Berkeley Unified,4.403857375,Emerson ,Berkeley Unified,3.759563677
46,Jefferson ,Berkeley Unified,-0.140075647,Jefferson ,Berkeley Unified,4.571992812
47,Leconte ,Berkeley Unified,1.83994668,Leconte ,Berkeley Unified,2.411126371
48,Malcolm X ,Berkeley Unified,2.520111534,Malcolm X ,Berkeley Unified,5.722546632
50,Oxford ,Berkeley Unified,2.651720893,Oxford ,Berkeley Unified,4.020870269
51,Thousand Oaks ,Berkeley Unified,1.187721156,Thousand Oaks ,Berkeley Unified,4.798835091
52,Washington ,Berkeley Unified,3.257192756,Washington ,Berkeley Unified,7.734468353
53,Berkeley Arts Magnet at Whittier,Berkeley Unified,1.414854409,Berkeley Arts Magnet at Whittier,Berkeley Unified,3.340288173
54,John Muir ,Berkeley Unified,0.866267692,John Muir ,Berkeley Unified,3.045365581
7861,Laneview ,Berryessa Union ,-1.148448296,Laneview ,Berryessa Union ,0.003148086
7862,Noble ,Berryessa Union ,-0.98968406,Noble ,Berryessa Union ,1.816733765
7863,Northwood ,Berryessa Union ,-1.329869045,Northwood ,Berryessa Union ,1.50120264
7865,Toyon ,Berryessa Union ,0.570336969,Toyon ,Berryessa Union ,1.618206051
7866,Ruskin ,Berryessa Union ,0.447087967,Ruskin ,Berryessa Union ,1.74932599
7868,Cherrywood ,Berryessa Union ,-1.089295103,Cherrywood ,Berryessa Union ,-0.269891406
7870,Vinci Park ,Berryessa Union ,0.846154067,Vinci Park ,Berryessa Union ,0.645448224
7871,Brooktree ,Berryessa Union ,-0.704927365,Brooktree ,Berryessa Union ,-0.452868835
7872,Majestic Way ,Berryessa Union ,1.059489144,Majestic Way ,Berryessa Union ,0.775077087
7873,Summerdale ,Berryessa Union ,-0.466434886,Summerdale ,Berryessa Union ,0.293918402
1859,Beverly Vista ,Beverly Hills Unified,0.118231432,Beverly Vista ,Beverly Hills Unified,-0.994620722
1860,El Rodeo ,Beverly Hills Unified,-0.072584009,El Rodeo ,Beverly Hills Unified,0.780533807
1861,Hawthorne ,Beverly Hills Unified,-1.753388202,Hawthorne ,Beverly Hills Unified,-3.071506162
1862,Horace Mann ,Beverly Hills Unified,-1.901922008,Horace Mann ,Beverly Hills Unified,-3.906040479
9190,Tenaya ,Big Oak Flat-Groveland Unified,2.041729423,Tenaya ,Big Oak Flat-Groveland Unified,-2.34741485
372,Biggs ,Biggs Unified,0.265712574,Big Springs ,Big Springs Union ,0.231519325
1322,Pine Street ,Bishop Unified,2.845415489,Pine Street ,Bishop Unified,0.549298193
1323,Elm Street ,Bishop Unified,1.470251194,,,
8275,Black Butte ,Black Butte Union ,-0.780140054,,,
782,American River Charter,Black Oak Mine Unified,-1.620037134,American River Charter,Black Oak Mine Unified,-0.2920329
784,Georgetown ,Black Oak Mine Unified,-2.130056425,Georgetown ,Black Oak Mine Unified,-1.93898299
785,Northside ,Black Oak Mine Unified,0.249729839,Northside ,Black Oak Mine Unified,0.641363284
7696,Trivium Charter,Blochman Union ,-0.365993036,Trivium Charter,Blochman Union ,-0.476003518
7697,Benjamin Foxen ,Blochman Union ,0.925779136,Benjamin Foxen ,Blochman Union ,2.304292062
1163,Blue Lake ,Blue Lake Union ,-2.46172101,Blue Lake ,Blue Lake Union ,1.334401558
3866,Bolinas-Stinson ,Bolinas-Stinson Union,0.729181344,Bolinas-Stinson ,Bolinas-Stinson Union,-1.678340302
1866,Allen Avenue ,Bonita Unified,-1.222762181,Allen Avenue ,Bonita Unified,-0.107505544
1867,Arma J. Shull ,Bonita Unified,-2.000235244,Arma J. Shull ,Bonita Unified,-1.776465403
1868,Fred Ekstrand ,Bonita Unified,-1.239947162,Fred Ekstrand ,Bonita Unified,0.498688137
1869,Gladstone ,Bonita Unified,-1.739305654,Gladstone ,Bonita Unified,-0.931809864
1870,Grace Miller ,Bonita Unified,0.486345782,Grace Miller ,Bonita Unified,-0.21871314
1871,J. Marion Roynon ,Bonita Unified,-1.880270699,J. Marion Roynon ,Bonita Unified,0.13583215
1872,La Verne Heights ,Bonita Unified,-1.029096197,La Verne Heights ,Bonita Unified,0.936963719
1875,Oak Mesa ,Bonita Unified,-1.896200441,Oak Mesa ,Bonita Unified,-0.810882983
6430,Bonsall West ,Bonsall Union ,0.905907045,Bonsall West ,Bonsall Unified,-8.598332806
6431,Bonsall ,Bonsall Union ,0.14301198,Bonsall ,Bonsall Unified,-7.005204065
4144,Bradley ,Bradley Union ,1.087866324,Bradley ,Bradley Union ,2.528124331
1242,Miguel Hidalgo ,Brawley ,-0.626904208,Miguel Hidalgo ,Brawley ,-1.013991368
1243,J. W. Oakley ,Brawley ,1.24521389,J. W. Oakley ,Brawley ,0.917350941
